AÑO,CAMPO_SIH,CATEGORIA,VOLUMEN_ORIGINAL_PETROLEO_MMB,VOLUMEN_ORIGINAL_GAS_MMMPC
2010,CENTURION,1P,1.00023,0.265968
2010,CENTURION,2P,1.00023,0.265968
2010,CENTURION,3P,1.00023,0.265968
2010,CERRO DEL CARBON,1P,49.573414,36.816497
2010,CERRO DEL CARBON,2P,49.573414,36.816497
2010,CERRO DEL CARBON,3P,49.573414,36.816497
2010,CERRO NANCHITAL,1P,38.046968,6.408517
2010,CERRO NANCHITAL,2P,38.046968,6.408517
2010,CERRO NANCHITAL,3P,47.047087,7.92447
2010,CERRO VIEJO,1P,89.227118,47.592435
2010,CERRO VIEJO,2P,89.227118,47.592435
2010,CERRO VIEJO,3P,89.227118,47.592435
2010,CERVELO,1P,0.0,13.223673
2010,CERVELO,2P,0.0,13.223673
2010,CERVELO,3P,0.0,13.223673
2010,CHAC,1P,529.611624,255.680604
2010,CHAC,2P,529.611624,255.680604
2010,CHAC,3P,529.611624,255.680604
2010,CHALUPA,1P,0.0,5.340691
2010,CHALUPA,2P,0.0,5.340691
2010,CHALUPA,3P,0.0,5.340691
2010,CHAPABIL,1P,30.605403,3.608057
2010,CHAPABIL,2P,222.781737,26.263635
2010,CHAPABIL,3P,833.574006,98.269649
2010,CHAPUL,1P,0.0,2.480407
2010,CHAPUL,2P,0.0,2.480407
2010,CHAPUL,3P,0.0,8.140315
2010,CHE,1P,17.15027,190.558558
2010,CHE,2P,17.15027,190.558558
2010,CHE,3P,17.15027,190.558558
2010,CHIAPAS COPANO,1P,320.186159,2226.607507
2010,CHIAPAS COPANO,2P,320.186159,2226.607507
2010,CHIAPAS COPANO,3P,320.186159,2226.607507
2010,CHICHIMANTLA,1P,14.616134,17.363967
2010,CHICHIMANTLA,2P,14.616134,17.363967
2010,CHICHIMANTLA,3P,14.616134,17.363967
2010,CHICONCOA,1P,0.313545,0.702884
2010,CHICONCOA,2P,0.62709,1.405768
2010,CHICONCOA,3P,0.62709,1.405768
2010,CHICONTEPEC,1P,0.305689,0.197376
2010,CHICONTEPEC,2P,0.305689,0.197376
2010,CHICONTEPEC,3P,0.305689,0.197376
